,parties,p_names,file_list
264,CDU/CSU,Dr. Stefan Heck,
265,CDU/CSU,Mechthild Heil,
266,CDU/CSU,Thomas Heilmann,
267,CDU/CSU,Mark Helfrich,
268,CDU/CSU,Michael Hennrich,
269,CDU/CSU,Marc Henrichmann,
270,CDU/CSU,Ansgar Heveling,
271,CDU/CSU,Susanne Hierl,
272,CDU/CSU,Christian Hirte,
273,CDU/CSU,Alexander Hoffmann,
274,CDU/CSU,Dr. Hendrik Hoppenstedt,
275,CDU/CSU,Franziska Hoppermann,
276,CDU/CSU,Hubert Hüppe,
277,CDU/CSU,Erich Irlstorfer,
278,CDU/CSU,Anne Janssen,
279,CDU/CSU,Thomas Jarzombek,
280,CDU/CSU,Andreas Jung,
281,CDU/CSU,Ingmar Jung,
282,CDU/CSU,Anja Karliczek,
283,CDU/CSU,Ronja Kemmer,
284,CDU/CSU,Roderich Kiesewetter,
285,CDU/CSU,Michael Kießling,
286,CDU/CSU,Dr. Georg Kippels,
287,CDU/CSU,Dr. Ottilie Klein,
288,CDU/CSU,Volkmar Klein,
289,CDU/CSU,Julia Klöckner,
290,CDU/CSU,Axel Knoerig,
291,CDU/CSU,Jens Koeppen,
292,CDU/CSU,Anne König,
293,CDU/CSU,Markus Koob,
294,CDU/CSU,Carsten Körber,
295,CDU/CSU,Gunther Krichbaum,
296,CDU/CSU,Dr. Günter Krings,
297,CDU/CSU,Tilman Moritz Kuban,
298,CDU/CSU,Ulrich Lange,
299,CDU/CSU,Armin Laschet,
300,CDU/CSU,Dr. Silke Launert,
301,CDU/CSU,Jens Lehmann,
302,CDU/CSU,Paul Lehrieder,
303,CDU/CSU,Dr. Katja Leikert,
304,CDU/CSU,Dr. Andreas Lenz,
305,CDU/CSU,Andrea Lindholz,
306,CDU/CSU,Dr. Carsten Linnemann,
307,CDU/CSU,Patricia Lips,
308,CDU/CSU,Bernhard Loos,
309,CDU/CSU,Dr. Jan-Marco Luczak,
310,CDU/CSU,Daniela Ludwig,
311,CDU/CSU,Klaus Mack,
312,CDU/CSU,Yvonne Magwas,
313,CDU/CSU,Andreas Mattfeldt,
314,CDU/CSU,Stephan Mayer (Altötting),
315,CDU/CSU,Volker Mayer-Lay,
316,CDU/CSU,Dr. Michael Meister,
317,CDU/CSU,Friedrich Merz,
318,CDU/CSU,Jan Metzler,
319,CDU/CSU,Dr. Mathias Middelberg,
320,CDU/CSU,Dietrich Monstadt,
321,CDU/CSU,Maximilian Mörseburg,
322,CDU/CSU,Axel Müller,
323,CDU/CSU,Florian Müller,
324,CDU/CSU,Sepp Müller,
325,CDU/CSU,Carsten Müller (Braunschweig),
326,CDU/CSU,Stefan Müller (Erlangen),
327,CDU/CSU,Dr. Stefan Nacke,
328,CDU/CSU,Petra Nicolaisen,
329,CDU/CSU,Wilfried Oellers,
330,CDU/CSU,Moritz Oppelt,
331,CDU/CSU,Florian Oßner,
332,CDU/CSU,Josef Oster,
333,CDU/CSU,Henning Otte,
334,CDU/CSU,Stephan Pilsinger,
335,CDU/CSU,Dr. Christoph Ploß,
336,CDU/CSU,Dr. Martin Plum,
337,CDU/CSU,Thomas Rachel,
338,CDU/CSU,Kerstin Radomski,
339,CDU/CSU,Alexander Radwan,
340,CDU/CSU,Alois Rainer,
341,CDU/CSU,Dr. Peter Ramsauer,
342,CDU/CSU,Henning Rehbaum,
343,CDU/CSU,Dr. Markus Reichel,
344,CDU/CSU,Josef Rief,
345,CDU/CSU,Lars Rohwer,
346,CDU/CSU,Dr. Norbert Röttgen,
347,CDU/CSU,Stefan Rouenhoff,
348,CDU/CSU,Thomas Röwekamp,
349,CDU/CSU,Erwin Rüddel,
350,CDU/CSU,Albert Rupprecht,
351,CDU/CSU,Catarina dos Santos Firnhaber,
352,CDU/CSU,Dr. Wolfgang Schäuble,
353,CDU/CSU,Dr. Christiane Schenderlein,
354,CDU/CSU,Andreas Scheuer,
355,CDU/CSU,Jana Schimke,
356,CDU/CSU,Patrick Schnieder,
357,CDU/CSU,Nadine Schön,
358,CDU/CSU,Felix Schreiner,
359,CDU/CSU,Armin Schwarz,
360,CDU/CSU,Detlef Seif,
361,CDU/CSU,Thomas Silberhorn,
362,CDU/CSU,Björn Simon,
363,CDU/CSU,Tino Sorge,
364,CDU/CSU,Jens Spahn,
365,CDU/CSU,Katrin Staffler,
366,CDU/CSU,Dr. Wolfgang Stefinger,
367,CDU/CSU,Albert Stegemann,
368,CDU/CSU,Johannes Steiniger,
369,CDU/CSU,Christian Frhr. von Stetten,
370,CDU/CSU,Dieter Stier,
371,CDU/CSU,Diana Stöcker,
372,CDU/CSU,Gero Storjohann,
373,CDU/CSU,Stephan Stracke,
374,CDU/CSU,Max Straubinger,
375,CDU/CSU,Christina Stumpp,
376,CDU/CSU,Dr. Hermann-Josef Tebroke,
377,CDU/CSU,Hans-Jürgen Thies,
378,CDU/CSU,Alexander Throm,
379,CDU/CSU,Antje Tillmann,
380,CDU/CSU,Astrid Timmermann-Fechter,
381,CDU/CSU,Markus Uhl,
