25,24,time,mNr
-0.238308,0.061128,1731489942637600,20
-0.59577,0.71316,1731489942638000,20
-0.516334,-0.061128,1731489942638400,20
-0.99295,0.5094,1731489942638800,20
-1.9859,0.672408,1731489942639200,20
0.317744,1.609704,1731489942639600,20
0.317744,0.957672,1731489942640000,20
-0.516334,-0.387144,1731489942640400,20
-0.79436,0.468648,1731489942640800,20
0.59577,1.32444,1731489942641200,20
1.58872,1.202184,1731489942641600,20
-0.119154,0.794664,1731489942642000,20
0.79436,0.631656,1731489942642400,20
0.79436,0.998424,1731489942642800,20
1.151822,1.283688,1731489942643200,20
1.429848,0.224136,1731489942643600,20
0.436898,-0.71316,1731489942644000,20
1.151822,0.061128,1731489942644400,20
0.79436,-0.142632,1731489942644800,20
2.025618,0.142632,1731489942645200,20
0.39718,-0.387144,1731489942645600,20
0.39718,-0.998424,1731489942646000,20
0.039718,-0.794664,1731489942646400,20
-1.231258,-0.753912,1731489942646800,20
-0.317744,-0.224136,1731489942647200,20
0.317744,-0.427896,1731489942647600,20
0.0,-0.183384,1731489942648000,20
-0.913514,-0.5094,1731489942648400,20
-0.913514,-0.957672,1731489942648800,20
-0.99295,-0.835416,1731489942649200,20
-0.635488,0.142632,1731489942649600,20
-1.628438,-0.30564,1731489942650000,20
-0.714924,-0.794664,1731489942650400,20
-0.79436,0.061128,1731489942650800,20
-1.151822,-0.142632,1731489942651200,20
0.754642,0.550152,1731489942651600,20
-0.119154,0.794664,1731489942652000,20
-1.032668,1.487448,1731489942652400,20
0.317744,0.5094,1731489942652800,20
-0.714924,0.91692,1731489942653200,20
0.436898,1.446696,1731489942653600,20
0.357462,0.550152,1731489942654000,20
1.19154,1.242936,1731489942654400,20
0.59577,0.998424,1731489942654800,20
0.079436,0.020376,1731489942655200,20
0.278026,0.672408,1731489942655600,20
1.151822,0.753912,1731489942656000,20
0.436898,0.468648,1731489942656400,20
0.79436,0.224136,1731489942656800,20
0.714924,-0.020376,1731489942657200,20
1.19154,0.468648,1731489942657600,20
0.79436,0.020376,1731489942658000,20
0.953232,-0.427896,1731489942658400,20
0.039718,-0.71316,1731489942658800,20
-0.635488,-0.794664,1731489942659200,20
0.913514,-0.876168,1731489942659600,20
-0.39718,-0.876168,1731489942660000,20
-0.556052,-0.550152,1731489942660400,20
-0.158872,-1.446696,1731489942660800,20
0.278026,-0.91692,1731489942661200,20
-0.754642,-0.71316,1731489942661600,20
-0.436898,-0.427896,1731489942662000,20
-0.754642,-0.346392,1731489942662400,20
-1.151822,-0.264888,1731489942662800,20
-1.509284,-0.91692,1731489942663200,20
-1.032668,0.835416,1731489942663600,20
-0.476616,-0.142632,1731489942664000,20
-1.19154,-0.387144,1731489942664400,20
-1.429848,0.876168,1731489942664800,20
0.158872,0.387144,1731489942665200,20
-0.079436,0.957672,1731489942665600,20
-0.079436,0.387144,1731489942666000,20
-0.19859,-0.10188,1731489942666400,20
0.476616,1.5282,1731489942666800,20
-0.754642,1.202184,1731489942667200,20
0.556052,0.91692,1731489942667600,20
0.0,-0.183384,1731489942668000,20
-0.039718,1.568952,1731489942668400,20
0.516334,0.468648,1731489942668800,20
0.675206,0.061128,1731489942669200,20
1.310694,1.039176,1731489942669600,20
1.58872,0.142632,1731489942670000,20
1.350412,-0.590904,1731489942670400,20
0.675206,0.468648,1731489942670800,20
-0.039718,-1.079928,1731489942671200,20
0.953232,-0.264888,1731489942671600,20
0.59577,-0.224136,1731489942672000,20
0.754642,0.020376,1731489942672400,20
0.278026,-0.631656,1731489942672800,20
0.119154,-0.753912,1731489942673200,20
0.19859,-0.753912,1731489942673600,20
0.19859,-0.753912,1731489942674000,20
-0.039718,-0.71316,1731489942674400,20
-2.303644,-0.835416,1731489942674800,20
-1.072386,-0.957672,1731489942675200,20
-0.238308,0.020376,1731489942675600,20
-0.675206,-0.387144,1731489942676000,20
-1.072386,0.427896,1731489942676400,20
-1.628438,0.061128,1731489942676800,20
-1.270976,0.468648,1731489942677200,20
-1.072386,0.631656,1731489942677600,20
-1.231258,0.835416,1731489942678000,20
-0.834078,0.631656,1731489942678400,20
-0.79436,1.242936,1731489942678800,20
-1.310694,0.876168,1731489942679200,20
0.0,0.387144,1731489942679600,20
-0.158872,0.631656,1731489942680000,20
0.635488,0.71316,1731489942680400,20
0.476616,0.998424,1731489942680800,20
0.039718,0.876168,1731489942681200,20
0.714924,0.753912,1731489942681600,20
1.429848,0.794664,1731489942682000,20
1.350412,-0.5094,1731489942682400,20
0.754642,0.387144,1731489942682800,20
0.834078,-0.427896,1731489942683200,20
0.79436,0.264888,1731489942683600,20
0.714924,-0.061128,1731489942684000,20
0.357462,-0.30564,1731489942684400,20
0.516334,-0.631656,1731489942684800,20
-0.158872,0.30564,1731489942685200,20
0.714924,-0.427896,1731489942685600,20
0.19859,-0.835416,1731489942686000,20
0.675206,-0.672408,1731489942686400,20
-1.151822,-0.30564,1731489942686800,20
-0.357462,-0.876168,1731489942687200,20
-0.675206,-0.427896,1731489942687600,20
-0.278026,-1.365192,1731489942688000,20
-0.317744,-0.91692,1731489942688400,20
-1.112104,0.183384,1731489942688800,20
-1.270976,-0.387144,1731489942689200,20
-1.112104,0.183384,1731489942689600,20
-0.556052,0.550152,1731489942690000,20
-0.635488,0.142632,1731489942690400,20
-1.151822,0.71316,1731489942690800,20
-0.953232,-0.224136,1731489942691200,20
0.079436,0.631656,1731489942691600,20
-0.317744,0.183384,1731489942692000,20
-0.19859,0.71316,1731489942692400,20
-0.476616,1.202184,1731489942692800,20
0.19859,0.835416,1731489942693200,20
1.19154,0.998424,1731489942693600,20
0.39718,1.283688,1731489942694000,20
1.072386,0.876168,1731489942694400,20
0.873796,0.753912,1731489942694800,20
-0.278026,-0.387144,1731489942695200,20
0.278026,0.631656,1731489942695600,20
0.635488,0.061128,1731489942696000,20
1.946182,-0.387144,1731489942696400,20
0.59577,0.672408,1731489942696800,20
0.158872,-0.224136,1731489942697200,20
0.79436,-0.224136,1731489942697600,20
0.556052,-0.264888,1731489942698000,20
1.231258,-0.10188,1731489942698400,20
0.675206,-0.91692,1731489942698800,20
-0.278026,-1.242936,1731489942699200,20
0.476616,-0.672408,1731489942699600,20
-0.635488,0.753912,1731489942700000,20
0.635488,-1.202184,1731489942700400,20
-1.310694,-0.264888,1731489942700800,20
-1.350412,-0.876168,1731489942701200,20
0.039718,-0.264888,1731489942701600,20
-0.635488,0.468648,1731489942702000,20
-0.913514,-0.10188,1731489942702400,20
-2.224208,0.061128,1731489942702800,20
-1.19154,-0.91692,1731489942703200,20
-1.310694,0.468648,1731489942703600,20
0.119154,-0.5094,1731489942704000,20
0.119154,0.753912,1731489942704400,20
-0.873796,0.753912,1731489942704800,20
-0.556052,0.5094,1731489942705200,20
-0.59577,0.794664,1731489942705600,20
0.278026,0.998424,1731489942706000,20
