,1. Hauptachse,2. Hauptachse,3. Hauptachse,Partei,Name
67,-3.987647891756369,1.3568364291971173,0.5943062959682107,SPD,Macit Karaahmetoglu
68,-5.945031147613987,-0.23080579568311446,-0.2771864070535754,SPD,Carlos Kasper
69,-3.7022826053012627,-0.15147054857255515,-0.30077941246711454,SPD,Anna Kassautzki
70,-3.5570296784272974,0.3833605901600252,-0.8039861798067564,SPD,Gabriele Katzmarek
71,3.2740463604276155,3.409383933256319,0.6158726982878614,SPD,Rainer Johannes Keller
72,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Dr. Franziska Kersten
73,3.2740463604276155,3.409383933256319,0.6158726982878614,SPD,Cansel Kiziltepe
74,-5.792384077892479,-0.0018387804308089006,-0.33507016119122957,SPD,Helmut Kleebank
75,-4.944736146446996,0.6888642548314844,1.1963915863815584,SPD,Dr. Kristian Klinck
76,-5.507498410626299,-0.03169675354159242,-0.04724710329253105,SPD,Lars Klingbeil
77,-5.227264544071375,-0.4795595838207707,-0.17354594957049563,SPD,Annika Klose
78,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Tim Klüssendorf
79,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Dr. Bärbel Kofler
80,-4.6582899600741,-0.019824072680564214,-0.7788747802935095,SPD,Simona Koß
81,-4.633689934176968,0.21167533364459654,0.09428546445978662,SPD,Anette Kramme
82,-5.985011312728999,-0.3982764621740045,-0.3071792164449475,SPD,Dunja Kreiser
83,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Martin Kröber
84,-4.090964777773449,0.2692116749670491,-0.2911758547923221,SPD,Kevin Kühnert
85,-5.077047927047042,-0.2184371821529217,-0.43317501071099584,SPD,Sarah Lahrkamp
86,-6.142385897325318,0.025102139286876976,-0.536448835117195,SPD,Andreas Larem
87,-4.697771031620922,0.1281679236961406,-1.1520641541027754,SPD,Dr. Karl Lauterbach
88,-5.903682581722418,0.6046741961377461,-0.21307721106003008,SPD,Sylvia Lehmann
89,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Kevin Leiser
90,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Luiza Licina-Bode
91,-5.184272514559413,-0.5529497054641832,0.07825468692294517,SPD,Esra Limbacher
92,-5.940812076718617,0.6102411553281041,0.025296320456196994,SPD,Helge Lindh
93,-5.926278810935014,-0.26749227379126805,-0.505525298232203,SPD,Bettina Lugk
94,3.2740463604276155,3.409383933256319,0.6158726982878614,SPD,Heiko Maas
95,-6.142385897325318,0.025102139286876976,-0.536448835117195,SPD,Dr. Tanja Machalet
96,-6.0220607078842265,0.29613729157151614,0.03462539669425012,SPD,Isabel Mackensen-Geis
97,-2.7640304848956703,1.8607571094834883,0.9390469881330444,SPD,Erik von Malottki
98,-5.260481122544013,-0.474709162206833,-0.08301588226827984,SPD,Holger Mann
99,2.3122342737967183,2.531326175547037,1.4395344115900888,SPD,Kaweh Mansoori
100,-5.962414956815118,-0.11811472736360908,-0.44166023087403355,SPD,Dr. Zanda Martens
101,-4.094052706178298,0.26247975445014426,-0.6236524168121643,SPD,Dorothee Martin
102,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Parsa Marvi
103,-5.68072736900519,0.0942854741408555,-0.785184593067488,SPD,Franziska Mascheck
104,-5.468237157659082,-0.15706695007378607,0.9222913087849679,SPD,Katja Mast
105,-5.243622188882747,-0.20856773777578316,-0.8389758040040728,SPD,Andreas Mehltretter
106,-5.35902375701619,0.6770156099760126,0.8617746070626989,SPD,Takis Mehmet Ali
107,-6.282716313204498,-0.1217190495729146,-0.4675197697946054,SPD,Robin Mesarosch
108,-5.725716785931805,0.8461428089968132,1.2404366711108281,SPD,Kathrin Michel
109,-6.071729598805759,0.346521210256334,-0.09920448400575278,SPD,Dr. Matthias Miersch
