time,Bm X,Bm Y
1642489203434.0,-0.220388,0.0
1642489203434.4001,0.566712,-0.15797
1642489203434.7998,-0.125936,-0.031594
1642489203435.2,-0.031484,0.347534
1642489203435.6,0.283356,-0.537098
1642489203436.0,0.031484,0.0
1642489203436.4,0.031484,0.031594
1642489203436.8,-0.220388,-0.442316
1642489203437.2,-0.251872,-0.758256
1642489203437.5999,-0.31484,0.031594
1642489203438.0,0.188904,0.126376
1642489203438.4001,0.346324,0.126376
1642489203438.8,-0.47226,-0.663474
1642489203439.2,-0.31484,0.031594
1642489203439.6,-0.503744,-0.726662
1642489203440.0,-0.7871,-0.347534
1642489203440.4,-0.094452,-0.252752
1642489203440.8,0.377808,-0.094782
1642489203441.2,0.094452,-0.126376
1642489203441.6,-0.377808,-0.126376
1642489203442.0,0.692648,-0.347534
1642489203442.4,-0.125936,0.126376
1642489203442.8,0.409292,-0.726662
1642489203443.2002,-0.15742,0.410722
1642489203443.5999,-0.661164,0.47391
1642489203444.0,-0.283356,0.379128
1642489203444.4001,0.0,0.094782
1642489203444.7998,-0.220388,-0.063188
1642489203445.2,0.503744,0.063188
1642489203445.6,0.188904,0.031594
1642489203446.0,-0.62968,0.063188
1642489203446.4,-0.15742,0.347534
1642489203446.8,-0.251872,0.347534
1642489203447.2,0.062968,0.31594
1642489203447.5999,-0.283356,-0.347534
1642489203448.0,-0.47226,0.221158
1642489203448.4,-0.409292,0.221158
1642489203448.8,-0.346324,-0.284346
1642489203449.2,0.15742,0.252752
1642489203449.6,-0.125936,0.031594
1642489203450.0,-0.125936,0.442316
1642489203450.4001,0.251872,-0.126376
1642489203450.8,-0.377808,0.221158
1642489203451.2,0.283356,-0.379128
1642489203451.6,0.535228,0.126376
1642489203452.0,0.503744,0.15797
1642489203452.4,0.47226,-0.221158
1642489203452.8,0.094452,0.094782
1642489203453.2002,0.62968,0.252752
1642489203453.5999,-0.535228,0.126376
1642489203454.0,-0.188904,-0.15797
1642489203454.4001,0.346324,-0.126376
1642489203454.7998,0.251872,0.063188
1642489203455.2,0.094452,0.0
1642489203455.6,0.220388,0.252752
1642489203456.0,0.881552,0.063188
1642489203456.4,-0.566712,-0.758256
1642489203456.8,-0.062968,-0.47391
1642489203457.2,-0.283356,0.0
1642489203457.6,-0.535228,-0.221158
1642489203458.0,0.409292,-0.600286
1642489203458.4,0.031484,-0.063188
1642489203458.8,0.031484,0.094782
1642489203459.2,-0.850068,-0.031594
1642489203459.5999,-0.346324,-0.379128
1642489203460.0,-0.7871,0.063188
1642489203460.4001,0.346324,0.505504
1642489203460.8,-0.346324,-0.505504
